Data;Exportações - (FOB) - US$ - Ministério do Desenvolvimento, Indústria e Comércio Exterior-Secretaria de Comércio Exterior - SECEX12_XVTOT12;
1977.01;885;
1977.02;853;
1977.03;950;
1977.04;1072;
1977.05;1218;
1977.06;1227;
1977.07;1020;
1977.08;1080;
1977.09;960;
1977.10;908;
1977.11;913;
1977.12;1033;
1978.01;803;
1978.02;818;
1978.03;1052;
1978.04;1012;
1978.05;1065;
1978.06;1108;
1978.07;1020;
1978.08;1082;
1978.09;1153;
1978.10;1209;
1978.11;1126;
1978.12;1210;
1979.01;1013;
1979.02;950;
1979.03;1160;
1979.04;1199;
1979.05;1302;
1979.06;1176;
1979.07;1423;
1979.08;1387;
1979.09;1369;
1979.10;1461;
1979.11;1290;
1979.12;1514;
1980.01;1322;
1980.02;1350;
1980.03;1442;
1980.04;1490;
1980.05;1936;
1980.06;1653;
1980.07;1654;
1980.08;1752;
1980.09;1801;
1980.10;1908;
1980.11;1905;
1980.12;1919;
1981.01;1696;
1981.02;1735;
1981.03;1755;
1981.04;1880;
1981.05;1869;
1981.06;1925;
1981.07;2052;
1981.08;2010;
1981.09;2081;
1981.10;2112;
1981.11;2127;
1981.12;2051;
1982.01;1646;
1982.02;1440;
1982.03;1767;
1982.04;1569;
1982.05;1713;
1982.06;1690;
1982.07;1758;
1982.08;1822;
1982.09;1698;
1982.10;1606;
1982.11;1713;
1982.12;1753;
1983.01;1533;
1983.02;1331;
1983.03;1683;
1983.04;1805;
1983.05;1952;
1983.06;1964;
1983.07;1907;
1983.08;2066;
1983.09;1996;
1983.10;1809;
1983.11;1827;
1983.12;2026;
1984.01;1647;
1984.02;1835;
1984.03;2054;
1984.04;2123;
1984.05;2396;
1984.06;2484;
1984.07;2550;
1984.08;2540;
1984.09;2269;
1984.10;2417;
1984.11;2303;
1984.12;2387;
1985.01;1571;
1985.02;1470;
1985.03;1957;
1985.04;2124;
1985.05;2238;
1985.06;2194;
1985.07;2184;
1985.08;2170;
1985.09;2404;
1985.10;2370;
1985.11;2292;
1985.12;2665;
1986.01;1907;
1986.02;1750;
1986.03;2156;
1986.04;2171;
1986.05;2289;
1986.06;1999;
1986.07;2204;
1986.08;2094;
1986.09;1847;
1986.10;1337;
1986.11;1270;
1986.12;1325;
1987.01;1264;
1987.02;1452;
1987.03;1436;
1987.04;1673;
1987.05;2187;
1987.06;2643;
1987.07;2923;
1987.08;2755;
1987.09;2692;
1987.10;2505;
1987.11;2247;
1987.12;2447;
1988.01;2158;
1988.02;2060;
1988.03;2472;
1988.04;2813;
1988.05;2904;
1988.06;3103;
1988.07;2972;
1988.08;3462;
1988.09;3312;
1988.10;2680;
1988.11;2950;
1988.12;2903;
1989.01;2751,13908;
1989.02;2262,854556;
1989.03;2846,266468;
1989.04;2398,243853;
1989.05;2832,211961;
1989.06;3685,928316;
1989.07;3200,0247;
1989.08;3364,293736;
1989.09;2951,100517;
1989.10;2744,119764;
1989.11;2575,230707;
1989.12;2771,206052;
1990.01;2279,822697;
1990.02;1974,460602;
1990.03;2231,975909;
1990.04;2558,374314;
1990.05;3231,77481;
1990.06;2509,955243;
1990.07;3081,963921;
1990.08;3061,546504;
1990.09;2592,084719;
1990.10;2332,737929;
1990.11;2664,596423;
1990.12;2894,462969;
1991.01;2929,306371;
1991.02;2269,792477;
1991.03;2612,517898;
1991.04;3023,747172;
1991.05;2911,547911;
1991.06;2810,771386;
1991.07;2561,131698;
1991.08;2804,630892;
1991.09;2069,590372;
1991.10;2655,55783;
1991.11;2457,609156;
1991.12;2514,23628;
1992.01;2568,678733;
1992.02;2388,86559;
1992.03;2886,553797;
1992.04;2681,374803;
1992.05;2915,734414;
1992.06;2954,022594;
1992.07;3441,123535;
1992.08;3024,446393;
1992.09;3016,089684;
1992.10;3220,010036;
1992.11;3276,234044;
1992.12;3419,852221;
1993.01;2813,3385;
1993.02;2889,473005;
1993.03;3508,669214;
1993.04;3027,828512;
1993.05;2884,488074;
1993.06;3238,276306;
1993.07;3423,383514;
1993.08;3502,691494;
1993.09;3444,72558;
1993.10;3240,464764;
1993.11;3171,193415;
1993.12;3410,236669;
1994.01;2747,187653;
1994.02;2778,288879;
1994.03;3350,391558;
1994.04;3634,841763;
1994.05;3862,059965;
1994.06;3727,9048;
1994.07;3738,057136;
1994.08;4282,100334;
1994.09;4162,08328;
1994.10;3842,498153;
1994.11;3706,207709;
1994.12;3713,527632;
1995.01;2980,189648;
1995.02;2951,705224;
1995.03;3798,68121;
1995.04;3393,925048;
1995.05;4204,77892;
1995.06;4119,904081;
1995.07;4004,041602;
1995.08;4558,093534;
1995.09;4166,886329;
1995.10;4405,19026;
1995.11;4047,844579;
1995.12;3875,041979;
1996.01;3472,938473;
1996.02;3404,705497;
1996.03;3408,143883;
1996.04;4271,322377;
1996.05;4505,748028;
1996.06;3839,945609;
1996.07;4458,942508;
1996.08;4380,857474;
1996.09;4115,239467;
1996.10;4187,92736;
1996.11;3911,558859;
1996.12;3789,398623;
1997.01;3680,971118;
1997.02;3142,779857;
1997.03;3824,075802;
1997.04;4624,157101;
1997.05;4654,89246;
1997.06;4841,600876;
1997.07;5235,22316;
1997.08;5071,719487;
1997.09;4584,627988;
1997.10;4785,884731;
